metric,varying_factor,fixed_level,levels,case_ids,values,relative_to_first_level_percent,monotonic_classification,ascending_value_order_case_ids
soil_x_displacement_rms_m,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[0.15692152688583538, 0.13963746302714822, 0.12962870789042866]","[0.0, -11.014463217186119, -17.3926544923712]",nonincreasing,"[""S_L45_M200"", ""S_L40_M200"", ""S_L35_M200""]"
soil_x_displacement_rms_m,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[0.09606269037189544, 0.08640864499491943, 0.07984358072969812]","[0.0, -10.049734542725695, -16.88388028630776]",nonincreasing,"[""S_L45_M325"", ""RAC"", ""S_L35_M325""]"
soil_x_displacement_rms_m,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[0.07062278320110303, 0.06619584935790668, 0.062263290878950196]","[0.0, -6.268421665838867, -11.836820843421917]",nonincreasing,"[""S_L45_M450"", ""S_L40_M450"", ""S_L35_M450""]"
soil_x_displacement_abs_peak_m,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[0.3842129367319881, 0.24979481279186203, 0.1929015923528901]","[0.0, -34.98531962079426, -49.793051219550506]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
soil_x_displacement_abs_peak_m,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[0.3487957635837664, 0.23833334670911777, 0.17961271196754328]","[0.0, -31.669655542740017, -48.504904382415845]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
soil_x_displacement_abs_peak_m,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[0.36188343234288156, 0.22587781232852241, 0.1634073750308856]","[0.0, -37.582715277635295, -54.845300882396174]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
soil_x_displacement_abs_peak_m,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[0.3842129367319881, 0.3487957635837664, 0.36188343234288156]","[0.0, -9.218110522115843, -5.81175235249372]",nonmonotonic,"[""S_L40_M200"", ""S_L45_M200"", ""S_L35_M200""]"
soil_x_displacement_abs_peak_m,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[0.24979481279186203, 0.23833334670911777, 0.22587781232852241]","[0.0, -4.5883523179059615, -9.57465857518351]",nonincreasing,"[""S_L45_M325"", ""RAC"", ""S_L35_M325""]"
soil_x_displacement_abs_peak_m,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[0.1929015923528901, 0.17961271196754328, 0.1634073750308856]","[0.0, -6.8889428144462475, -15.289773900906114]",nonincreasing,"[""S_L45_M450"", ""S_L40_M450"", ""S_L35_M450""]"
soil_rotation_rms_rad,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[0.030461252356465192, 0.02636125073527844, 0.02267252859120924]","[0.0, -13.459727699989173, -25.56928281907244]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
soil_rotation_rms_rad,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[0.029757384012290927, 0.023794465471623706, 0.020037170915973887]","[0.0, -20.03845008084148, -32.66487770666341]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
soil_rotation_rms_rad,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[0.029006035214731843, 0.021215754039511182, 0.01756903109164088]","[0.0, -26.857449208584228, -39.429739495324874]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
soil_rotation_rms_rad,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[0.030461252356465192, 0.029757384012290927, 0.029006035214731843]","[0.0, -2.310700610524551, -4.777272860301455]",nonincreasing,"[""S_L45_M200"", ""S_L40_M200"", ""S_L35_M200""]"
soil_rotation_rms_rad,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[0.02636125073527844, 0.023794465471623706, 0.021215754039511182]","[0.0, -9.736963126031371, -19.519167536619197]",nonincreasing,"[""S_L45_M325"", ""RAC"", ""S_L35_M325""]"
soil_rotation_rms_rad,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[0.02267252859120924, 0.020037170915973887, 0.01756903109164088]","[0.0, -11.623571956844515, -22.509608838015197]",nonincreasing,"[""S_L45_M450"", ""S_L40_M450"", ""S_L35_M450""]"
soil_rotation_abs_peak_rad,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[0.0720861256543842, 0.07282952326949169, 0.06396898025162566]","[0.0, 1.0312631014069114, -11.260343553038302]",nonmonotonic,"[""S_L35_M450"", ""S_L35_M200"", ""S_L35_M325""]"
soil_rotation_abs_peak_rad,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[0.07285464841877323, 0.070062974700602, 0.05728367756749253]","[0.0, -3.8318402171464996, -21.372652520094192]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
soil_rotation_abs_peak_rad,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[0.0706765246829936, 0.06130911102910535, 0.05015069038441528]","[0.0, -13.253925112905648, -29.041940574530408]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
soil_rotation_abs_peak_rad,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[0.0720861256543842, 0.07285464841877323, 0.0706765246829936]","[0.0, 1.0661174496652828, -1.955440049793928]",nonmonotonic,"[""S_L45_M200"", ""S_L35_M200"", ""S_L40_M200""]"
soil_rotation_abs_peak_rad,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[0.07282952326949169, 0.070062974700602, 0.06130911102910535]","[0.0, -3.7986635703389275, -15.818327133293542]",nonincreasing,"[""S_L45_M325"", ""RAC"", ""S_L35_M325""]"
soil_rotation_abs_peak_rad,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[0.06396898025162566, 0.05728367756749253, 0.05015069038441528]","[0.0, -10.450850799615855, -21.60154783280168]",nonincreasing,"[""S_L45_M450"", ""S_L40_M450"", ""S_L35_M450""]"
soil_force_x_total_rms_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[3728553.3995560897, 3205920.796817978, 3093760.326453986]","[0.0, -14.017034134480541, -17.02518390048216]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
soil_force_x_total_rms_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[3663026.278870042, 3211366.7482100907, 3180919.829489539]","[0.0, -12.330229058560773, -13.16142480771996]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
soil_force_x_total_rms_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[3597748.578716199, 3159441.3302578484, 3140906.6426268504]","[0.0, -12.182820418617293, -12.697995040341745]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
soil_force_x_total_rms_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[3728553.3995560897, 3663026.278870042, 3597748.578716199]","[0.0, -1.7574408534379355, -3.5081922349687678]",nonincreasing,"[""S_L45_M200"", ""S_L40_M200"", ""S_L35_M200""]"
soil_force_x_total_rms_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[3205920.796817978, 3211366.7482100907, 3159441.3302578484]","[0.0, 0.1698716761037303, -1.449800837446219]",nonmonotonic,"[""S_L45_M325"", ""S_L35_M325"", ""RAC""]"
soil_force_x_total_rms_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[3093760.326453986, 3180919.829489539, 3140906.6426268504]","[0.0, 2.8172674621971603, 1.5239162442458032]",nonmonotonic,"[""S_L35_M450"", ""S_L45_M450"", ""S_L40_M450""]"
soil_force_x_total_abs_peak_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[12195580.043376215, 11477384.110578857, 11345210.439359976]","[0.0, -5.888985437699056, -6.972768830934778]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
soil_force_x_total_abs_peak_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[12383941.668664278, 12607581.521226423, 13165342.681008074]","[0.0, 1.8058858685359587, 6.309792417070366]",nondecreasing,"[""S_L40_M200"", ""RAC"", ""S_L40_M450""]"
soil_force_x_total_abs_peak_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[13399216.616073055, 12907194.922855586, 14155248.429427255]","[0.0, -3.672018352380869, 5.642358318525132]",nonmonotonic,"[""S_L45_M325"", ""S_L45_M200"", ""S_L45_M450""]"
soil_force_x_total_abs_peak_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[12195580.043376215, 12383941.668664278, 13399216.616073055]","[0.0, 1.5445073101739715, 9.869449164499326]",nondecreasing,"[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]"
soil_force_x_total_abs_peak_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[11477384.110578857, 12607581.521226423, 12907194.922855586]","[0.0, 9.84716900435394, 12.457636674883545]",nondecreasing,"[""S_L35_M325"", ""RAC"", ""S_L45_M325""]"
soil_force_x_total_abs_peak_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[11345210.439359976, 13165342.681008074, 14155248.429427255]","[0.0, 16.04317743929639, 24.768495966530555]",nondecreasing,"[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]"
soil_moment_total_rms_Nm,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[8535212.583513385, 7376345.133783229, 7250129.72191049]","[0.0, -13.577487829285287, -15.056249027530502]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
soil_moment_total_rms_Nm,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[9453786.694365883, 8440718.929406008, 8506087.851659028]","[0.0, -10.71599981797376, -10.02454226380684]",nonmonotonic,"[""RAC"", ""S_L40_M450"", ""S_L40_M200""]"
soil_moment_total_rms_Nm,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[10334385.750584044, 9326738.779205408, 9419356.322495868]","[0.0, -9.750429253346663, -8.854221723206553]",nonmonotonic,"[""S_L45_M325"", ""S_L45_M450"", ""S_L45_M200""]"
soil_moment_total_rms_Nm,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[8535212.583513385, 9453786.694365883, 10334385.750584044]","[0.0, 10.762170266582654, 21.079418344493746]",nondecreasing,"[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]"
soil_moment_total_rms_Nm,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[7376345.133783229, 8440718.929406008, 9326738.779205408]","[0.0, 14.429555237972927, 26.441192894967596]",nondecreasing,"[""S_L35_M325"", ""RAC"", ""S_L45_M325""]"
soil_moment_total_rms_Nm,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[7250129.72191049, 8506087.851659028, 9419356.322495868]","[0.0, 17.3232504509944, 29.919831558734693]",nondecreasing,"[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]"
soil_moment_total_abs_peak_Nm,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[28740544.088325486, 26659728.511252902, 26079905.33308007]","[0.0, -7.240000643960731, -9.25744045439341]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
soil_moment_total_abs_peak_Nm,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[32737387.9376517, 33179091.205775462, 34032237.518560566]","[0.0, 1.34923185980807, 3.95526235439096]",nondecreasing,"[""S_L40_M200"", ""RAC"", ""S_L40_M450""]"
soil_moment_total_abs_peak_Nm,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[39587282.379126154, 37827922.59347553, 40687480.100424685]","[0.0, -4.444255023119022, 2.779169609982246]",nonmonotonic,"[""S_L45_M325"", ""S_L45_M200"", ""S_L45_M450""]"
soil_moment_total_abs_peak_Nm,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[28740544.088325486, 32737387.9376517, 39587282.379126154]","[0.0, 13.906639474336702, 37.74019815862377]",nondecreasing,"[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]"
soil_moment_total_abs_peak_Nm,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[26659728.511252902, 33179091.205775462, 37827922.59347553]","[0.0, 24.45397255928836, 41.8916272065884]",nondecreasing,"[""S_L35_M325"", ""RAC"", ""S_L45_M325""]"
soil_moment_total_abs_peak_Nm,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[26079905.33308007, 34032237.518560566, 40687480.100424685]","[0.0, 30.492181945897105, 56.01084275722501]",nondecreasing,"[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]"
support_runtime_delta_x_force_rms_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[572514.4368265615, 483837.28675472544, 471090.4036641674]","[0.0, -15.489067937460593, -17.71554158958609]",nonincreasing,"[""S_L35_M450"", ""S_L35_M325"", ""S_L35_M200""]"
support_runtime_delta_x_force_rms_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[540799.8110173005, 478427.42463583016, 472321.84607853735]","[0.0, -11.533359500281886, -12.662350012650517]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
support_runtime_delta_x_force_rms_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[537612.8270225489, 478956.24580187624, 472821.2037511673]","[0.0, -10.910562075970041, -12.051725705693416]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
support_runtime_delta_x_force_rms_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[572514.4368265615, 540799.8110173005, 537612.8270225489]","[0.0, -5.539532939126333, -6.096197328659807]",nonincreasing,"[""S_L45_M200"", ""S_L40_M200"", ""S_L35_M200""]"
support_runtime_delta_x_force_rms_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[483837.28675472544, 478427.42463583016, 478956.24580187624]","[0.0, -1.1181160003564867, -1.0088186848078904]",nonmonotonic,"[""RAC"", ""S_L45_M325"", ""S_L35_M325""]"
support_runtime_delta_x_force_rms_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[471090.4036641674, 472321.84607853735, 472821.2037511673]","[0.0, 0.26140256833756964, 0.367402959928208]",nondecreasing,"[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]"
support_runtime_delta_x_force_abs_peak_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[1901078.7161618886, 1667469.8645974935, 1690290.989212204]","[0.0, -12.288226130690202, -11.08779584757261]",nonmonotonic,"[""S_L35_M325"", ""S_L35_M450"", ""S_L35_M200""]"
support_runtime_delta_x_force_abs_peak_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[1956908.8074665596, 1711493.652641907, 1705763.4800940044]","[0.0, -12.540960206641936, -12.833777762883662]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
support_runtime_delta_x_force_abs_peak_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[1942724.3429077764, 1783834.889295349, 1702755.6214132612]","[0.0, -8.17869267930258, -12.352175560601745]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
support_runtime_delta_x_force_abs_peak_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[1901078.7161618886, 1956908.8074665596, 1942724.3429077764]","[0.0, 2.9367585271475285, 2.1906313711179024]",nonmonotonic,"[""S_L35_M200"", ""S_L45_M200"", ""S_L40_M200""]"
support_runtime_delta_x_force_abs_peak_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[1667469.8645974935, 1711493.652641907, 1783834.889295349]","[0.0, 2.6401549424726993, 6.978538393312698]",nondecreasing,"[""S_L35_M325"", ""RAC"", ""S_L45_M325""]"
support_runtime_delta_x_force_abs_peak_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[1690290.989212204, 1705763.4800940044, 1702755.6214132612]","[0.0, 0.9153743929624628, 0.7374252291829685]",nonmonotonic,"[""S_L35_M450"", ""S_L45_M450"", ""S_L40_M450""]"
support_runtime_delta_pitch_moment_rms_Nm,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[276706938.7341173, 280184665.5379242, 283417404.01066875]","[0.0, 1.2568267422988355, 2.425116373030092]",nondecreasing,"[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]"
support_runtime_delta_pitch_moment_rms_Nm,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[275507976.6399297, 282017297.5973248, 284305441.2318112]","[0.0, 2.3626615231915116, 3.193179631012718]",nondecreasing,"[""S_L40_M200"", ""RAC"", ""S_L40_M450""]"
support_runtime_delta_pitch_moment_rms_Nm,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[275677590.2287381, 282962546.3580986, 283862074.8711161]","[0.0, 2.6425637728898987, 2.9688610654159646]",nondecreasing,"[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]"
support_runtime_delta_pitch_moment_rms_Nm,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[276706938.7341173, 275507976.6399297, 275677590.2287381]","[0.0, -0.4332967216769646, -0.37199952776329986]",nonmonotonic,"[""S_L40_M200"", ""S_L45_M200"", ""S_L35_M200""]"
support_runtime_delta_pitch_moment_rms_Nm,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[280184665.5379242, 282017297.5973248, 282962546.3580986]","[0.0, 0.6540800710424902, 0.9914464144000265]",nondecreasing,"[""S_L35_M325"", ""RAC"", ""S_L45_M325""]"
support_runtime_delta_pitch_moment_rms_Nm,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[283417404.01066875, 284305441.2318112, 283862074.8711161]","[0.0, 0.3133319297177114, 0.15689610241106022]",nonmonotonic,"[""S_L35_M450"", ""S_L45_M450"", ""S_L40_M450""]"
support_runtime_delta_pitch_moment_abs_peak_Nm,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[890637179.5940186, 958118145.0819217, 921779984.5204754]","[0.0, 7.576706546055391, 3.496688173365131]",nonmonotonic,"[""S_L35_M200"", ""S_L35_M450"", ""S_L35_M325""]"
support_runtime_delta_pitch_moment_abs_peak_Nm,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[861416270.6735555, 944032503.2381368, 948018835.5533202]","[0.0, 9.59074437959969, 10.05350929952237]",nondecreasing,"[""S_L40_M200"", ""RAC"", ""S_L40_M450""]"
support_runtime_delta_pitch_moment_abs_peak_Nm,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[867935223.2248787, 939583777.6039162, 961579020.2811775]","[0.0, 8.25505780406306, 10.789261058948417]",nondecreasing,"[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]"
support_runtime_delta_pitch_moment_abs_peak_Nm,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[890637179.5940186, 861416270.6735555, 867935223.2248787]","[0.0, -3.2808992920981503, -2.548956734490716]",nonmonotonic,"[""S_L40_M200"", ""S_L45_M200"", ""S_L35_M200""]"
support_runtime_delta_pitch_moment_abs_peak_Nm,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[958118145.0819217, 944032503.2381368, 939583777.6039162]","[0.0, -1.4701362160906124, -1.9344553250706664]",nonincreasing,"[""S_L45_M325"", ""RAC"", ""S_L35_M325""]"
support_runtime_delta_pitch_moment_abs_peak_Nm,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[921779984.5204754, 948018835.5533202, 961579020.2811775]","[0.0, 2.8465416339555962, 4.317628547923637]",nondecreasing,"[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]"
