case_id,roll_angle_rms_deg,roll_angle_abs_peak_deg,roll_rate_rms_deg_per_s,roll_rate_abs_peak_deg_per_s,hull_spud_relative_pitch_rms_rad,hull_spud_relative_pitch_abs_peak_rad,branch1_piston_displacement_rms_m,branch1_piston_displacement_min_m,branch1_piston_displacement_max_m,branch2_piston_displacement_rms_m,branch2_piston_displacement_min_m,branch2_piston_displacement_max_m,branch1_accumulator_pressure_min_MPa,branch1_accumulator_pressure_max_MPa,branch2_accumulator_pressure_min_MPa,branch2_accumulator_pressure_max_MPa,branch1_rope_tension_rms_N,branch1_rope_tension_abs_peak_N,branch2_rope_tension_rms_N,branch2_rope_tension_abs_peak_N,spud_soil_x_displacement_rms_m,spud_soil_x_displacement_abs_peak_m,spud_soil_rotation_rms_rad,spud_soil_rotation_abs_peak_rad,soil_reaction_x_rms_N,soil_reaction_x_abs_peak_N,soil_reaction_moment_rms_Nm,soil_reaction_moment_abs_peak_Nm,support_x_force_increment_rms_N,support_x_force_increment_abs_peak_N,support_pitch_moment_increment_rms_Nm,support_pitch_moment_increment_abs_peak_Nm
R0,0.12212105573197439,0.12212105659076315,4.0518478997730984e-10,1.2345599739583721e-09,0.01140740271633279,0.011407402731952123,0.18806927762575992,0.18806927734429513,0.18806927788305883,0.19116830870725082,-0.1911683089691827,-0.19116830842071808,14.353955857641541,14.353955859912098,12.71110432557416,12.711104327470252,717580.4107001558,717580.4107543644,644674.3036139221,644674.3036641598,2.117897117056229e-11,5.708556640755309e-11,0.010839575031138245,0.010839575047883755,1893890.5485479708,1893890.5517006777,5681671.64594139,5681671.654590313,0.0003639731000428423,0.001174368429929018,2373867.918655288,2373868.0942879543
RA,0.1641241590157702,0.6257857412423998,0.1262676798898287,0.7880538983526538,0.022747616931842775,0.044937232649316275,0.3745976715918921,-0.7433283718655797,0.7340986610659141,0.38146462582034135,-0.749565388829569,0.7498967748137932,11.181197847703611,17.018289238325,11.004371878606264,16.863083859805645,726518.3289803576,850775.2915751693,651602.8708525546,855251.9564690071,0.08634550892115196,0.2375783579988665,0.02376891628143939,0.07005298168019058,3212132.1572479685,12828129.523571238,8442811.947621308,33860848.974333376,477281.84425613296,1709299.5583253433,281902556.51537764,943323484.66162
RC,0.12362907036860703,0.14318694367698756,0.023233995304076837,0.03867340915405171,0.011302492230781417,0.011554449682344316,0.1863410337877917,0.1823804078411846,0.19049157069393186,0.18940902313560737,-0.19363426608815226,-0.1853772685617292,14.330015012103425,14.36417057694565,12.702584187830306,12.731151535692952,717214.3773090459,718091.0630732254,644985.2561407244,645691.0461649203,0.0006957188327532297,0.0010133015986304246,0.01097269379830115,0.01122563922389926,1875644.4043718318,1905844.7616169548,5640741.927669148,5727025.630016817,12661.939288444515,28737.740954058245,2979591.2696621343,5803523.298842769
RAC,0.1607811867737967,0.629523989060107,0.12070771044567308,0.8024914273104661,0.02274643210347487,0.04491263224289723,0.374578569105104,-0.7429205602661264,0.7343478285796445,0.381444807970471,-0.7498214208145715,0.7494879758293516,11.182317957048525,17.019695346408444,11.00368062669265,16.860789799664992,726436.1610650955,850845.5854806274,651692.1076372769,855135.6076777729,0.08640864499491943,0.23833334670911777,0.023794465471623706,0.070062974700602,3211366.7482100907,12607581.521226423,8440718.929406008,33179091.205775462,478427.42463583016,1711493.652641907,282017297.5973248,944032503.2381368
B_P85_N9,0.19337345237221515,0.7383960289040603,0.16217267131821964,0.6853550372095341,0.026240814410365604,0.044577569898295366,0.4351773761256168,-0.7412180787648994,0.7362473508770235,0.4423423226752034,-0.7499937762896769,0.7493116967379896,7.043664229770923,10.722857871894172,6.9279503942336715,10.615430094378507,455510.8009639174,536055.2053572799,417452.2911338313,538387.1320605397,0.10035266923227086,0.290597330848807,0.028781229832413307,0.07326538389553199,3134333.5556960925,12908027.81777762,8096883.66741476,33937395.70389191,528905.9647739222,1975412.4657717384,277117910.3623425,902385237.3257678
B_P185_N9,0.15738942529657615,0.6093058692527806,0.1173577056634864,0.7665838425380898,0.018319126821409532,0.04489929722031777,0.29966950193736275,-0.49341888216297347,0.7328139951989143,0.30555684561339247,-0.749993442787567,0.4981873183746006,16.31500851078797,23.311428940453617,15.078481503543232,21.302934691826614,989997.1573171087,1165380.813318476,887954.3937624155,1080429.6963228288,0.06756269857157848,0.19517417437508566,0.019613867832990062,0.05337329111008606,3232238.2028256645,9707185.145017982,8821090.837642815,25260701.603264645,467252.9187984289,1702382.1880767331,284407535.07442474,927564321.8784282
S_L35_M200,0.18307202403742054,0.5801998450666163,0.14963565477219307,0.6871486232580883,0.02330245947838812,0.044894451379314845,0.38412324282060395,-0.7426191687440422,0.7343408597744983,0.3903841689904898,-0.7498142600052953,0.7491858526020096,11.183145892974453,17.01965601717309,11.003699958902459,16.859094716403533,706178.9213815555,850843.6193404743,675002.0946694823,855049.6374431604,0.15692152688583538,0.3842129367319881,0.030461252356465192,0.0720861256543842,3728553.3995560897,12195580.043376215,8535212.583513385,28740544.088325486,572514.4368265615,1901078.7161618886,276706938.7341173,890637179.5940186
S_L35_M325,0.17093413368942487,0.5972306891609551,0.13935954550832397,0.746309181106514,0.022296352925614667,0.04486824188009517,0.36732512069327233,-0.7421846840828903,0.734484096126818,0.37374667712974236,-0.7499614429845636,0.7487503101530624,11.18433962663244,17.020464418941327,11.003302617157654,16.85665158945417,716878.4302289708,850884.0328180266,661468.7366193959,854925.7283693041,0.09606269037189544,0.24979481279186203,0.02636125073527844,0.07282952326949169,3205920.796817978,11477384.110578857,7376345.133783229,26659728.511252902,483837.28675472544,1667469.8645974935,280184665.5379242,958118145.0819217
S_L35_M450,0.16723483768695763,0.6368251655147866,0.13237206228836407,0.7342016870076313,0.021268510148782102,0.044667414599707765,0.3502425033959795,-0.6371705096087528,0.7344058410706715,0.35667449683855856,-0.7498810316986164,0.6433791356980276,11.479406295841722,17.020022752470894,11.003519696008581,16.28292680557704,724530.7362115221,850861.9531063214,650977.3792758075,825827.892649279,0.07062278320110303,0.1929015923528901,0.02267252859120924,0.06396898025162566,3093760.326453986,11345210.439359976,7250129.72191049,26079905.33308007,471090.4036641674,1690290.989212204,283417404.01066875,921779984.5204754
S_L40_M200,0.19594032097174566,0.5764667128740202,0.1689829402706407,0.7853606124547823,0.02500312148215054,0.04487763706002903,0.41197391424988716,-0.7423404313825741,0.7343755129043239,0.419041592911613,-0.7498498679054038,0.7489064370345835,11.183911690451996,17.019851587546214,11.003603827969341,16.857527296048378,714960.9750030305,850853.3962598142,669080.3326376152,854970.1419406413,0.13963746302714822,0.3487957635837664,0.029757384012290927,0.07285464841877323,3663026.278870042,12383941.668664278,9453786.694365883,32737387.9376517,540799.8110173005,1956908.8074665596,275507976.6399297,861416270.6735555
S_L40_M450,0.1635348315955818,0.6831875618853923,0.12498406075857171,0.8316550232610861,0.022315552074152638,0.04466016845565927,0.367382790532043,-0.5414498663295659,0.7342872016576099,0.3743226634978112,-0.7497591235341405,0.5471613301250322,11.760186199971859,17.019353196775658,11.003848814115878,15.787652123519228,734816.4247822976,850828.4807969816,641212.456433993,800708.8429937712,0.06619584935790668,0.17961271196754328,0.020037170915973887,0.05728367756749253,3180919.829489539,13165342.681008074,8506087.851659028,34032237.518560566,472321.84607853735,1705763.4800940044,284305441.2318112,948018835.5533202
S_L45_M200,0.20621710077941147,0.6086816968346551,0.18087840824814613,0.7267094021528296,0.02606171161672194,0.04488546196226192,0.4293037869066513,-0.7424701477126681,0.7344320522747267,0.4368827930377404,-0.7499079651097644,0.7490364691614149,11.183555299206292,17.02017068462129,11.003446985572143,16.858256698208976,721658.9285676391,850869.3485040995,664088.8256181881,855007.1353298784,0.12962870789042866,0.36188343234288156,0.029006035214731843,0.0706765246829936,3597748.578716199,13399216.616073055,10334385.750584044,39587282.379126154,537612.8270225489,1942724.3429077764,275677590.2287381,867935223.2248787
S_L45_M325,0.15980783490167927,0.6805850223927117,0.12013916789495077,0.8369483940949621,0.023133032490893716,0.04467194788910956,0.3808394215219689,-0.598011142748093,0.7344800634544892,0.38802685671608694,-0.7499572991936305,0.604035863655279,11.592870157941976,17.020441658319637,11.003313803584247,16.07723347009846,734756.0466217456,850882.8949730741,642949.2765666787,815395.6591940438,0.07984358072969812,0.22587781232852241,0.021215754039511182,0.06130911102910535,3159441.3302578484,12907194.922855586,9326738.779205408,37827922.59347553,478956.24580187624,1783834.889295349,282962546.3580986,939583777.6039162
S_L45_M450,0.16959299521755536,0.6732331366246459,0.1357047621273692,0.7505030182469701,0.022977243249973283,0.044667396094698414,0.3782303583714692,-0.4097354919699132,0.7344055380927488,0.38546578754930094,-0.7498807203727067,0.4145040192093743,12.166284970404224,17.02002104252129,11.003520536480375,15.145878565222562,742519.6996751275,850861.8676228239,633482.966307429,768159.749606905,0.062263290878950196,0.1634073750308856,0.01756903109164088,0.05015069038441528,3140906.6426268504,14155248.429427255,9419356.322495868,40687480.100424685,472821.2037511673,1702755.6214132612,283862074.8711161,961579020.2811775
S_L375_M325,0.17046740504930616,0.6676448264466066,0.1362427947708687,0.8219920608613651,0.022476916417027003,0.04487701408575511,0.37023265225196655,-0.7423301041087127,0.7342926756558112,0.37683773058565256,-0.7497647483459269,0.7488960846053776,11.18394006512565,17.019384088944555,11.003833628318539,16.857469227461166,721119.0651427183,850830.0251527916,657125.5980091623,854967.1968522295,0.09106949233766992,0.2518759671120774,0.025253134812560633,0.0689376311568034,3216971.797343919,12754130.663986586,7928435.030792319,31604272.3729776,479620.62154132774,1643668.577225574,281607768.89934,958539663.7833893
S_L425_M325,0.15920934901475825,0.6628472813712529,0.11868562299230005,0.8449866004528407,0.02288576949454292,0.044670657693132027,0.37681747130671855,-0.6721414104866716,0.734458939414572,0.38383422533915695,-0.7499355930946909,0.6784911438253975,11.379677837429199,17.0203224339433,11.003372400894339,16.470338899565693,730568.5994823128,850876.9347292327,647269.2433127875,835332.9488645196,0.08267307654210304,0.23701896048434606,0.022488289079037917,0.06587977568967497,3184420.754727534,12209189.360368527,8892653.569785876,33606953.30637298,479155.69363128016,1765053.455469768,282290905.4253966,939641029.7662007
S_L40_M2625,0.17378826088885305,0.6464817607270734,0.13841134333014965,0.6530054728814467,0.023749998714324764,0.04463999892440125,0.3912485440679846,-0.7384010552021523,0.7336218221404771,0.3981260517069388,-0.7490754164871234,0.7449573218175845,11.194744274914575,17.015598884633317,11.00569494557524,16.835400875105282,720541.0464693691,850640.7958914724,660326.9828065052,853847.9471535826,0.10679177346377293,0.27676534239105616,0.026757571822012046,0.075629789808198,3378803.8792476268,12564681.044029213,8783975.095099699,33110287.813642114,490064.15583689045,1799683.0626859632,278886254.86582404,957916210.7520807
S_L40_M3875,0.16188862088682585,0.6616784884649731,0.12412430436459027,0.907002820013073,0.022441772711830437,0.044672661800311236,0.3694880844081984,-0.6572615621978564,0.7344917521324894,0.37640940767668196,-0.7499693099491367,0.6635539403467368,11.421929295305205,17.020507629996803,11.003281379841196,16.390161162417073,731263.3605732542,850886.1930174386,645581.0133837184,831266.5416087754,0.07429532347142395,0.2163070551206973,0.021670813123696,0.06518229798718266,3169682.704409055,12503417.188838314,8412641.614569657,32253809.808415398,473518.70239783626,1728297.7589998029,283093325.4286842,943636521.1393714
